case_id,image_width,image_height,mpp_x,mpp_y,patch_min_x_pixel,patch_min_y_pixel,patch_size,patch_polygon_area,patch_area_seleted_percentage,nucleus_area,percent_nuclear_material,tumorFlag,grayscale_patch_mean,grayscale_patch_std,Hematoxylin_patch_mean,Hematoxylin_patch_std,grayscale_segment_mean,grayscale_segment_std,Hematoxylin_segment_mean,Hematoxylin_segment_std,Flatness_segment_mean,Flatness_segment_std,Perimeter_segment_mean,Perimeter_segment_std,Circularity_segment_mean,Circularity_segment_std,r_GradientMean_segment_mean,r_GradientMean_segment_std,b_GradientMean_segment_mean,b_GradientMean_segment_std,r_cytoIntensityMean_segment_mean,r_cytoIntensityMean_segment_std,b_cytoIntensityMean_segment_mean,b_cytoIntensityMean_segment_std,Elongation_segment_mean,Elongation_segment_std,datetime
PC_058_0_1,162239,86955,0.2464,0.2464,29696,64512,512,15915.53819,100,351.1789389,2.206516266,tumor,177.8010597,24.66991732,15.61299896,5.892820155,111.8957113,24.1955727,37.24768562,8.5219877,1.6845076,1.010658551,58.581128,25.98961897,0.81576532,0.139311567,13.5194504,3.130915131,9.0902344,1.503733728,200.13036,13.95600964,164.25612,11.07250745,1.6845076,1.010658551,52:04.8
PC_058_0_1,162239,86955,0.2464,0.2464,29696,65024,512,15915.53819,100,616.046816,3.870725632,tumor,178.9390755,28.24026254,17.32893753,6.940494763,110.0895121,25.7217217,38.80453471,8.988049045,1.878493889,1.221779494,70.44919444,28.67445109,0.771311306,0.156767315,14.181325,3.895606463,9.373984722,2.344367863,203.4314444,13.28447067,168.7925833,11.71861057,1.878493889,1.221779494,51:27.5
PC_058_0_1,162239,86955,0.2464,0.2464,29696,65536,512,15915.53819,100,490.7124992,3.083229065,tumor,179.4791489,28.56546773,15.41801071,6.096190856,114.1598366,22.91213379,34.65609258,8.027262006,1.920674103,1.014829814,60.88647949,30.99106857,0.775028359,0.157863693,13.27647385,4.135520384,9.164280513,2.469754893,198.6215385,13.15764068,165.8360769,13.80009696,1.920674103,1.014829814,50:05.8
PC_058_0_1,162239,86955,0.2464,0.2464,29696,66048,512,15915.53819,100,492.3972838,3.09381485,tumor,181.4403381,27.49504675,20.64116287,5.908239046,115.6774107,21.91140667,39.35320978,7.362446712,1.643428485,0.880266388,60.69958273,30.61075786,0.827425121,0.181096099,13.03764424,3.113668875,8.838819091,1.85036529,199.2117576,13.50789725,166.3156061,13.53169717,1.643428485,0.880266388,50:21.0
PC_058_0_1,162239,86955,0.2464,0.2464,29696,66560,512,15915.53819,100,689.8206515,4.334259033,tumor,183.7405014,30.73948188,17.97726059,7.151080521,111.6198403,25.87868691,39.45280477,8.79533643,1.7716192,0.815773441,59.321234,26.32771499,0.79427648,0.140077353,14.9320718,4.331931133,10.0810646,2.682861649,205.91292,14.14217731,173.95068,14.28863687,1.7716192,0.815773441,50:24.5
PC_058_0_1,162239,86955,0.2464,0.2464,29696,67072,512,15915.53819,100,548.7085542,3.447628021,tumor,191.6200218,30.50426752,16.42372894,6.545522775,114.565228,25.79518099,37.91025798,8.436787161,2.071279189,1.182845655,64.61968649,41.94496167,0.747001703,0.186399763,14.96220676,4.475633329,10.08548649,2.516005324,206.0584595,15.96972105,176.8066486,15.90615783,2.071279189,1.182845655,50:19.6
PC_058_0_1,162239,86955,0.2464,0.2464,29696,67584,512,15915.53819,100,445.3599181,2.798271179,tumor,196.4794617,30.26583255,19.45012283,5.913658656,119.4311224,23.71093927,39.13265306,7.160909276,2.015148966,1.441200313,64.85556138,39.65866882,0.777260897,0.166759688,14.10475414,3.323700229,10.19875897,2.146711776,209.5276207,15.46548775,182.1683448,14.41941523,2.015148966,1.441200313,45:32.9
PC_058_0_1,162239,86955,0.2464,0.2464,29696,68096,512,13764.88471,86.48708291,273.1862595,1.984660717,tumor,202.0409012,29.6577149,16.37690735,5.850565658,114.0677134,26.22240739,39.88346418,7.423500028,1.562325,0.672463117,50.37278462,22.5400338,0.835806462,0.114034292,14.265605,3.940323075,10.39741692,3.335677578,209.1631923,16.91001294,186.045,16.23131806,1.562325,0.672463117,45:32.2
PC_058_0_1,162239,86955,0.2464,0.2464,29696,68608,512,6953.642433,43.69090352,20.58169344,0.295984351,tumor,208.7041397,26.9053803,12.2783165,4.909473816,130.8733766,30.91736271,32.50324675,7.66824214,2.00718,0.56787,64.9914,8.7071,0.741906,0.114914,16.2567,0.6178,11.93615,1.27415,220.123,4.511,198.9135,10.5275,2.00718,0.56787,45:30.3
PC_058_0_1,162239,86955,0.2464,0.2464,29696,69120,512,1372.504533,8.623676542,9.31943936,0.679009733,tumor,212.8962746,29.85631284,13.14032364,5.137045942,108.1527778,22.26055288,39.91666667,5.624228342,1.15959,0,46.0416,0,0.912913,0,13.5519,0,12.2597,0,220.599,0,203.868,0,1.15959,0,45:30.4
PC_058_0_1,162239,86955,0.2464,0.2464,30208,60928,512,3202.779905,20.12360417,226.0185871,7.056950331,tumor,169.3732491,33.83724428,21.26229858,8.144021255,95.39321644,19.89811704,43.57114113,7.690255115,1.564556,0.571437022,64.26301333,18.70788873,0.811499533,0.114583634,15.56824,2.91579051,10.43990667,2.119929577,195.8048667,13.24300096,158.8966,13.65268747,1.564556,0.571437022,01:36.5
PC_058_0_1,162239,86955,0.2464,0.2464,30208,61440,512,8922.15985,56.05942913,380.1200085,4.260403478,tumor,166.174305,35.39307842,23.60111237,8.656806111,98.21142459,24.56163683,44.48885406,8.468710071,1.48881,0.493760555,52.17599091,20.20243855,0.839135879,0.09704235,14.83315273,3.492229136,10.02498455,2.199474938,192.1757273,15.90037629,155.2408182,12.75711482,1.48881,0.493760555,57:15.4
PC_058_0_1,162239,86955,0.2464,0.2464,30208,61951,512,14506.26047,91.14527136,605.500916,4.174066206,tumor,169.5041885,31.7357025,21.72595596,7.541583925,93.14043427,21.30323828,44.40153397,8.131843381,1.490489167,0.650453428,65.215625,30.89700282,0.824840806,0.117074107,13.90594917,3.294593958,9.168581667,1.904478454,193.526,16.27949855,154.4563056,13.02988913,1.490489167,0.650453428,57:20.7
PC_058_0_1,162239,86955,0.2464,0.2464,30208,62464,512,15915.53819,100,392.7824947,2.467918396,tumor,173.5717583,27.63800172,17.65209579,6.483044088,92.67253521,21.06608466,42.03152247,7.745729376,1.533842,0.622181094,66.227336,29.79318109,0.8280918,0.118406488,12.5447512,3.411755316,8.6084656,1.728874267,192.42876,18.43769047,153.50508,14.18535826,1.533842,0.622181094,57:44.2
PC_058_0_1,162239,86955,0.2464,0.2464,30208,62976,512,15915.53819,100,529.7964672,3.328800201,tumor,173.7411766,28.85194884,18.38147354,6.882585056,100.5872467,23.29611072,40.38877904,8.013203553,1.503785313,0.525599808,62.19112188,32.84186254,0.829842031,0.120705556,14.22197031,2.942512083,9.685448438,2.703174636,195.3668438,14.934074,157.942875,13.21113463,1.503785313,0.525599808,57:16.2
PC_058_0_1,162239,86955,0.2464,0.2464,30208,63488,512,15915.53819,100,544.5952512,3.421783447,tumor,174.5092049,27.68099381,17.35009003,6.496032337,98.34448322,20.76453163,40.27782457,7.412015525,1.734364444,0.909087405,71.50877519,40.20694649,0.780713444,0.158543087,14.56281296,2.77936378,9.264515926,1.684731299,200.6643704,14.97415255,160.4937778,14.58446173,1.734364444,0.909087405,51:36.7
PC_058_0_1,162239,86955,0.2464,0.2464,30208,63999,512,15915.53819,100,959.704937,6.029987335,tumor,173.4621811,31.23932392,21.07527924,7.315508998,106.6333402,21.51216048,40.37080827,7.695495859,1.79974875,0.776326637,80.15829583,51.22521929,0.756932958,0.15754235,13.48834875,3.811107905,8.960882917,1.965109842,198.3594375,16.78664568,160.9917708,14.55694456,1.79974875,0.776326637,51:39.1
PC_058_0_1,162239,86955,0.2464,0.2464,30208,64512,512,15915.53819,100,1070.976614,6.729125977,tumor,174.9187469,29.40234902,18.31083679,6.909581488,117.8756207,19.76043711,34.20474468,6.817668785,1.8269236,0.699201049,78.2072226,51.0460537,0.7652252,0.156881152,12.206583,2.967310314,8.841954,1.485060706,198.78304,10.73866899,167.18148,8.627800594,1.8269236,0.699201049,51:57.6
PC_058_0_1,162239,86955,0.2464,0.2464,30208,65024,512,15915.53819,100,528.4076582,3.320074081,tumor,179.139061,26.32728554,22.26789856,5.825615643,121.7936248,20.65160024,37.9338541,6.719906748,1.70070475,0.858654279,61.1959925,38.94277495,0.8248211,0.179090773,12.441628,3.662441341,9.30577125,2.43446534,198.487425,10.79841907,168.1445,9.037205113,1.70070475,0.858654279,51:35.0
